symbol,date,price
AAPL,Dec 2011,84.84
AAPL,Jan 2012,85.73
AAPL,Feb 2012,84.61
AAPL,Mar 2012,92.91
AAPL,Apr 2012,99.8
AAPL,May 2012,121.19
AAPL,Jun 2012,122.04
AAPL,Jul 2012,131.76
AAPL,Aug 2012,138.48
AAPL,Sep 2012,153.47
AAPL,Oct 2012,189.95
AAPL,Nov 2012,182.22
AAPL,Dec 2012,198.08
AAPL,Jan 2013,135.36
AAPL,Feb 2013,125.02
AAPL,Mar 2013,143.5
AAPL,Apr 2013,173.95
AAPL,May 2013,188.75
AAPL,Jun 2013,167.44
AAPL,Jul 2013,158.95
AAPL,Aug 2013,169.53
AAPL,Sep 2013,113.66
AAPL,Oct 2013,107.59
AAPL,Nov 2013,92.67
AAPL,Dec 2013,85.35
AAPL,Jan 2014,90.13
AAPL,Feb 2014,89.31
AAPL,Mar 2014,105.12
AAPL,Apr 2014,125.83
AAPL,May 2014,135.81
AAPL,Jun 2014,142.43
AAPL,Jul 2014,163.39
AAPL,Aug 2014,168.21
AAPL,Sep 2014,185.35
AAPL,Oct 2014,188.5
AAPL,Nov 2014,199.91
AAPL,Dec 2014,210.73
AAPL,Jan 2015,192.06
AAPL,Feb 2015,204.62
AAPL,Mar 2015,223.02
